city_ascii,state_id,state_name,county_name,population,density,timezone
Sylmar,CA,California,Marin,0,0,America/Los_Angeles
Skowhegan,ME,Main,Somerset,0,0,American/New_York
Dover Foxcroft,ME,Main,Piscataquis,0,0,American/New_York
Damariscotta,ME,Main,Lincoln,0,0,American/New_York
La Jolla,CA,Califiornia,San Diego,0, 0, American/Los_Angeles
Van Nuys,CA,Califiornia,Los Angeles,0, 0, American/Los_Angeles
Polacca,AZ,Arizona,Hopi Nation,0, 0, American/Phoenix
New York,NY,New York,New York,18713220,10715,America/New_York
Los Angeles,CA,California,Los Angeles,12750807,3276,America/Los_Angeles
Chicago,IL,Illinois,Cook,8604203,4574,America/Chicago
Miami,FL,Florida,Miami-Dade,6445545,5019,America/New_York
Dallas,TX,Texas,Dallas,5743938,1526,America/Chicago
Philadelphia,PA,Pennsylvania,Philadelphia,5649300,4554,America/New_York
Houston,TX,Texas,Harris,5464251,1399,America/Chicago
Atlanta,GA,Georgia,Fulton,5449398,1441,America/New_York
Washington,DC,District of Columbia,District of Columbia,5379184,4457,America/New_York
Boston,MA,Massachusetts,Suffolk,4688346,5532,America/New_York
Phoenix,AZ,Arizona,Maricopa,4219697,1253,America/Phoenix
Seattle,WA,Washington,King,3789215,3469,America/Los_Angeles
San Francisco,CA,California,San Francisco,3592294,7256,America/Los_Angeles
Detroit,MI,Michigan,Wayne,3506126,1864,America/Detroit
San Diego,CA,California,San Diego,3220118,1686,America/Los_Angeles
Minneapolis,MN,Minnesota,Hennepin,2977172,3071,America/Chicago
Tampa,FL,Florida,Hillsborough,2908063,1353,America/New_York
Denver,CO,Colorado,Denver,2876625,1831,America/Denver
Brooklyn,NY,New York,Kings,2559903,14221,America/New_York
Queens,NY,New York,Queens,2230722,7885,America/New_York
Riverside,CA,California,Riverside,2107852,1574,America/Los_Angeles
Baltimore,MD,Maryland,Baltimore,2106068,2830,America/New_York
Las Vegas,NV,Nevada,Clark,2104198,1773,America/Los_Angeles
Portland,OR,Oregon,Multnomah,2074775,1894,America/Los_Angeles
San Antonio,TX,Texas,Bexar,2049293,1231,America/Chicago
Saint Louis,MO,Missouri,Saint Louis,2024074,1879,America/Chicago
Sacramento,CA,California,Sacramento,1898019,2029,America/Los_Angeles
Orlando,FL,Florida,Orange,1822394,1003,America/New_York
San Jose,CA,California,Santa Clara,1798103,2218,America/Los_Angeles
Cleveland,OH,Ohio,Cuyahoga,1710093,1893,America/New_York
Pittsburgh,PA,Pennsylvania,Allegheny,1703266,2093,America/New_York
Austin,TX,Texas,Travis,1687311,1181,America/Chicago
Cincinnati,OH,Ohio,Hamilton,1662691,1507,America/New_York
Kansas City,MO,Missouri,Jackson,1636715,607,America/Chicago
Manhattan,NY,New York,New York,1628706,27545,America/New_York
Indianapolis,IN,Indiana,Marion,1588961,935,America/Indiana/Indianapolis
Columbus,OH,Ohio,Franklin,1562009,1582,America/New_York
Charlotte,NC,North Carolina,Mecklenburg,1512923,1113,America/New_York
Virginia Beach,VA,Virginia,Virginia Beach,1478868,709,America/New_York
Bronx,NY,New York,Bronx,1418207,12862,America/New_York
Milwaukee,WI,Wisconsin,Milwaukee,1365787,2369,America/Chicago
Providence,RI,Rhode Island,Providence,1203230,3773,America/New_York
Jacksonville,FL,Florida,Duval,1181496,470,America/New_York
Salt Lake City,UT,Utah,Salt Lake,1098526,699,America/Denver
Nashville,TN,Tennessee,Davidson,1081903,544,America/Chicago
Richmond,VA,Virginia,Richmond,1075798,1484,America/New_York
Memphis,TN,Tennessee,Shelby,1066967,792,America/Chicago
Raleigh,NC,North Carolina,Wake,1038738,1254,America/New_York
New Orleans,LA,Louisiana,Orleans,1020886,889,America/Chicago
Louisville,KY,Kentucky,Jefferson,1005654,905,America/New_York
Oklahoma City,OK,Oklahoma,Oklahoma,972943,417,America/Chicago
Bridgeport,CT,Connecticut,Fairfield,924449,3470,America/New_York
Buffalo,NY,New York,Erie,914341,2441,America/New_York
Fort Worth,TX,Texas,Tarrant,909585,1016,America/Chicago
Hartford,CT,Connecticut,Hartford,905152,2712,America/New_York
